BugId,Fichier,Version
HIVE-17163,MapJoinMultiKeyBench.java,3.0.0
HIVE-17163,MapJoinOneLongKeyBench.java,3.0.0
HIVE-17163,MapJoinOneStringKeyBench.java,3.0.0
HIVE-17163,AbstractOperatorBench.java,3.0.0
HIVE-17163,VectorGroupByOperatorBench.java,3.0.0
HIVE-17163,VectorSelectOperatorBench.java,3.0.0
HIVE-17163,VectorBatchGenerateUtil.java,3.0.0
HIVE-18819,HiveConf.java,3.0.0
HIVE-18819,VectorizationContext.java,3.0.0
HIVE-18819,IfExprColumnCondExpr.java,3.0.0
HIVE-18819,IfExprCondExprBase.java,3.0.0
HIVE-18819,IfExprCondExprColumn.java,3.0.0
HIVE-18819,IfExprCondExprCondExpr.java,3.0.0
HIVE-18819,IfExprCondExprNull.java,3.0.0
HIVE-18819,IfExprNullCondExpr.java,3.0.0
HIVE-18806,TestHiveCli.java,3.0.0
HIVE-18806,TestBeeLineWithArgs.java,3.0.0
HIVE-18800,VectorCoalesce.java,3.0.0
HIVE-18769,Vectorizer.java,3.0.0
HIVE-18769,MapJoinDesc.java,3.0.0
HIVE-18769,VectorMapJoinDesc.java,3.0.0
HIVE-17063,Hive.java,1.2.2
HIVE-17063,Hive.java,2.1.1
HIVE-17063,Hive.java,2.2.0
HIVE-18636,TestTxnNoBuckets.java,3.0.0
HIVE-18528,StringColumnStatsAggregator.java,3.0.0
HIVE-18493,BeeLine.java,3.0.0
HIVE-18493,BeeLineOpts.java,3.0.0
HIVE-18493,Rows.java,3.0.0
HIVE-18493,CliDriver.java,3.0.0
HIVE-18493,EscapeCRLFHelper.java,3.0.0
HIVE-18493,HiveConf.java,3.0.0
HIVE-18493,TestBeeLineWithArgs.java,3.0.0
HIVE-18493,QFileBeeLineClient.java,3.0.0
HIVE-17790,TableExport.java,3.0.0
HIVE-17574,HiveConf.java,2.2.0
HIVE-17574,HiveConf.java,2.4.0
HIVE-17574,HiveConf.java,3.0.0
HIVE-17574,Utilities.java,2.2.0
HIVE-17574,Utilities.java,2.4.0
HIVE-17574,Utilities.java,3.0.0
HIVE-17574,DagUtils.java,2.2.0
HIVE-17574,DagUtils.java,2.4.0
HIVE-17574,DagUtils.java,3.0.0
HIVE-17574,SessionState.java,2.2.0
HIVE-17574,SessionState.java,2.4.0
HIVE-17574,SessionState.java,3.0.0
HIVE-17574,ResourceDownloader.java,2.2.0
HIVE-17574,ResourceDownloader.java,2.4.0
HIVE-17574,ResourceDownloader.java,3.0.0
HIVE-17574,TestAddResource.java,2.2.0
HIVE-17574,TestAddResource.java,2.4.0
HIVE-17574,TestAddResource.java,3.0.0
HIVE-12767,HiveConf.java,1.2.1
HIVE-12767,HiveConf.java,2.0.0
HIVE-12767,ColumnarStorageBench.java,1.2.1
HIVE-12767,ColumnarStorageBench.java,2.0.0
HIVE-12767,DDLTask.java,1.2.1
HIVE-12767,DDLTask.java,2.0.0
HIVE-12767,MapredParquetOutputFormat.java,1.2.1
HIVE-12767,MapredParquetOutputFormat.java,2.0.0
HIVE-12767,ParquetRecordReaderBase.java,1.2.1
HIVE-12767,ParquetRecordReaderBase.java,2.0.0
HIVE-12767,ETypeConverter.java,1.2.1
HIVE-12767,ETypeConverter.java,2.0.0
HIVE-12767,DataWritableReadSupport.java,1.2.1
HIVE-12767,DataWritableReadSupport.java,2.0.0
HIVE-12767,ParquetRecordReaderWrapper.java,1.2.1
HIVE-12767,ParquetRecordReaderWrapper.java,2.0.0
HIVE-12767,ParquetHiveSerDe.java,1.2.1
HIVE-12767,ParquetHiveSerDe.java,2.0.0
HIVE-12767,ParquetTableUtils.java,1.2.1
HIVE-12767,ParquetTableUtils.java,2.0.0
HIVE-12767,NanoTimeUtils.java,1.2.1
HIVE-12767,NanoTimeUtils.java,2.0.0
HIVE-12767,VectorizedParquetRecordReader.java,1.2.1
HIVE-12767,VectorizedParquetRecordReader.java,2.0.0
HIVE-12767,VectorizedPrimitiveColumnReader.java,1.2.1
HIVE-12767,VectorizedPrimitiveColumnReader.java,2.0.0
HIVE-12767,DataWritableWriteSupport.java,1.2.1
HIVE-12767,DataWritableWriteSupport.java,2.0.0
HIVE-12767,DataWritableWriter.java,1.2.1
HIVE-12767,DataWritableWriter.java,2.0.0
HIVE-12767,TestDataWritableWriter.java,1.2.1
HIVE-12767,TestDataWritableWriter.java,2.0.0
HIVE-12767,TestVectorizedColumnReader.java,1.2.1
HIVE-12767,TestVectorizedColumnReader.java,2.0.0
HIVE-12767,VectorizedColumnReaderTestBase.java,1.2.1
HIVE-12767,VectorizedColumnReaderTestBase.java,2.0.0
HIVE-12767,TestETypeConverter.java,1.2.1
HIVE-12767,TestETypeConverter.java,2.0.0
HIVE-12767,TestParquetTimestampUtils.java,1.2.1
HIVE-12767,TestParquetTimestampUtils.java,2.0.0
HIVE-12767,TestNanoTimeUtils.java,1.2.1
HIVE-12767,TestNanoTimeUtils.java,2.0.0
HIVE-12767,TestParquetTimestampConverter.java,1.2.1
HIVE-12767,TestParquetTimestampConverter.java,2.0.0
HIVE-12614,ResetProcessor.java,1.3.0
HIVE-12614,ResetProcessor.java,2.1.0
HIVE-12614,SetProcessor.java,1.3.0
HIVE-12614,SetProcessor.java,2.1.0
HIVE-12614,TestResetProcessor.java,1.3.0
HIVE-12614,TestResetProcessor.java,2.1.0
HIVE-16301,TestSchemaTool.java,2.3.0
HIVE-16310,ExplainTask.java,2.3.0
HIVE-16310,OperatorFactory.java,2.3.0
HIVE-16310,Vectorizer.java,2.3.0
HIVE-16274,HiveConf.java,2.1.0
HIVE-16274,MetaStoreDirectSql.java,2.1.0
HIVE-16274,ObjectStore.java,2.1.0
HIVE-16274,StatObjectConverter.java,2.1.0
HIVE-15644,JvmMetrics.java,2.2.0
HIVE-15644,JvmMetricsInfo.java,2.2.0
HIVE-15644,LlapDaemon.java,2.2.0
HIVE-15644,LlapDaemonExecutorMetrics.java,2.2.0
HIVE-15644,LlapTaskSchedulerMetrics.java,2.2.0
HIVE-16208,VectorGroupByOperator.java,2.2.0
HIVE-15867,HiveConf.java,2.1.1
HIVE-16107,TestJdbcWithMiniHS2.java,2.0.1
HIVE-16107,TestJdbcWithMiniHS2.java,2.1.1
HIVE-16107,HiveConnection.java,2.0.1
HIVE-16107,HiveConnection.java,2.1.1
HIVE-16180,SimpleAllocator.java,2.2.0
HIVE-16180,EncodedReaderImpl.java,2.2.0
HIVE-15766,DbNotificationListener.java,2.0.0
HIVE-15766,DbNotificationListener.java,2.1.1
HIVE-15766,HiveMetaStore.java,2.0.0
HIVE-15766,HiveMetaStore.java,2.1.1
HIVE-16024,HiveMetaStoreChecker.java,2.2.0
HIVE-15849,TestHplsqlUdf.java,2.2.0
HIVE-15849,Udf.java,2.2.0
HIVE-15849,TestHplsqlUdf.java,2.2.0
HIVE-16190,TestTxnCommands.java,2.2.0
HIVE-16190,TestMergeStatement.java,2.2.0
HIVE-16163,BaseSemanticAnalyzer.java,2.1.0
HIVE-16187,TestHostAffinitySplitLocationProvider.java,2.2.0
HIVE-16155,CommonJoinTaskDispatcher.java,2.1.1
HIVE-16103,LlapZookeeperRegistryImpl.java,2.2.0
HIVE-16103,LlapTaskSchedulerService.java,2.2.0
HIVE-16150,HiveInputFormat.java,2.2.0
HIVE-16072,LlapDaemon.java,2.2.0
HIVE-16072,LlapDaemonJvmInfo.java,2.2.0
HIVE-16072,LlapDaemonJvmMetrics.java,2.2.0
HIVE-15903,BaseSemanticAnalyzer.java,2.1.0
HIVE-15903,BaseSemanticAnalyzer.java,2.1.1
HIVE-15903,GenTezUtils.java,2.1.0
HIVE-15903,GenTezUtils.java,2.1.1
HIVE-15903,ProcessAnalyzeTable.java,2.1.0
HIVE-15903,ProcessAnalyzeTable.java,2.1.1
HIVE-15903,SemanticAnalyzer.java,2.1.0
HIVE-15903,SemanticAnalyzer.java,2.1.1
HIVE-15282,DDLTask.java,2.2.0
HIVE-16054,AMReporter.java,2.2.0
HIVE-16054,ContainerRunnerImpl.java,2.2.0
HIVE-16054,TaskRunnerCallable.java,2.2.0
HIVE-16102,ErrorMsg.java,1.3.0
HIVE-16102,ErrorMsg.java,2.2.0
HIVE-16102,GroupByOperator.java,1.3.0
HIVE-16102,GroupByOperator.java,2.2.0
HIVE-16102,HiveExpandDistinctAggregatesRule.java,1.3.0
HIVE-16102,HiveExpandDistinctAggregatesRule.java,2.2.0
HIVE-16102,CalcitePlanner.java,1.3.0
HIVE-16102,CalcitePlanner.java,2.2.0
HIVE-16102,SemanticAnalyzer.java,1.3.0
HIVE-16102,SemanticAnalyzer.java,2.2.0
HIVE-16101,QFileClient.java,2.2.0
HIVE-16109,TxnHandler.java,2.2.0
HIVE-16109,TestDbTxnManager.java,2.2.0
HIVE-16043,TezSessionPoolManager.java,2.2.0
HIVE-12767,HiveConf.java,1.2.1
HIVE-12767,HiveConf.java,2.0.0
HIVE-12767,ColumnarStorageBench.java,1.2.1
HIVE-12767,ColumnarStorageBench.java,2.0.0
HIVE-12767,DDLTask.java,1.2.1
HIVE-12767,DDLTask.java,2.0.0
HIVE-12767,MapredParquetOutputFormat.java,1.2.1
HIVE-12767,MapredParquetOutputFormat.java,2.0.0
HIVE-12767,ParquetRecordReaderBase.java,1.2.1
HIVE-12767,ParquetRecordReaderBase.java,2.0.0
HIVE-12767,ETypeConverter.java,1.2.1
HIVE-12767,ETypeConverter.java,2.0.0
HIVE-12767,DataWritableReadSupport.java,1.2.1
HIVE-12767,DataWritableReadSupport.java,2.0.0
HIVE-12767,ParquetRecordReaderWrapper.java,1.2.1
HIVE-12767,ParquetRecordReaderWrapper.java,2.0.0
HIVE-12767,ParquetTableUtils.java,1.2.1
HIVE-12767,ParquetTableUtils.java,2.0.0
HIVE-12767,NanoTimeUtils.java,1.2.1
HIVE-12767,NanoTimeUtils.java,2.0.0
HIVE-12767,VectorizedParquetRecordReader.java,1.2.1
HIVE-12767,VectorizedParquetRecordReader.java,2.0.0
HIVE-12767,VectorizedPrimitiveColumnReader.java,1.2.1
HIVE-12767,VectorizedPrimitiveColumnReader.java,2.0.0
HIVE-12767,DataWritableWriteSupport.java,1.2.1
HIVE-12767,DataWritableWriteSupport.java,2.0.0
HIVE-12767,DataWritableWriter.java,1.2.1
HIVE-12767,DataWritableWriter.java,2.0.0
HIVE-12767,TestDataWritableWriter.java,1.2.1
HIVE-12767,TestDataWritableWriter.java,2.0.0
HIVE-12767,TestVectorizedColumnReader.java,1.2.1
HIVE-12767,TestVectorizedColumnReader.java,2.0.0
HIVE-12767,VectorizedColumnReaderTestBase.java,1.2.1
HIVE-12767,VectorizedColumnReaderTestBase.java,2.0.0
HIVE-12767,TestETypeConverter.java,1.2.1
HIVE-12767,TestETypeConverter.java,2.0.0
HIVE-12767,TestParquetTimestampUtils.java,1.2.1
HIVE-12767,TestParquetTimestampUtils.java,2.0.0
HIVE-12767,TestNanoTimeUtils.java,1.2.1
HIVE-12767,TestNanoTimeUtils.java,2.0.0
HIVE-12767,TestParquetTimestampConverter.java,1.2.1
HIVE-12767,TestParquetTimestampConverter.java,2.0.0
HIVE-15859,Rpc.java,2.1.1
HIVE-15859,RpcDispatcher.java,2.1.1
HIVE-15859,TestRpc.java,2.1.1
HIVE-15847,InPlaceUpdate.java,2.2.0
HIVE-15847,DAGSummary.java,2.2.0
HIVE-15847,RenderStrategy.java,2.2.0
HIVE-15847,TezJobMonitor.java,2.2.0
HIVE-15992,LlapTaskCommunicator.java,2.2.0
HIVE-15855,Exec.java,2.2.0
HIVE-15754,TestDbNotificationListener.java,2.2.0
HIVE-15754,HiveMetaStore.java,2.2.0
HIVE-15782,LeafFilterFactory.java,2.2.0
HIVE-15782,ParquetFilterPredicateConverter.java,2.2.0
HIVE-15782,TestParquetRecordReaderWrapper.java,2.2.0
HIVE-15809,HiveConf.java,2.2.0
HIVE-14007,HiveConf.java,2.2.0
HIVE-14007,TestCompactor.java,2.2.0
HIVE-14007,LlapRecordReader.java,2.2.0
HIVE-14007,EncodedDataConsumer.java,2.2.0
HIVE-14007,GenericColumnVectorProducer.java,2.2.0
HIVE-14007,OrcColumnVectorProducer.java,2.2.0
HIVE-14007,OrcEncodedDataConsumer.java,2.2.0
HIVE-14007,ReadPipeline.java,2.2.0
HIVE-14007,OrcEncodedDataReader.java,2.2.0
HIVE-14007,SerDeEncodedDataReader.java,2.2.0
HIVE-14007,VertorDeserializeOrcWriter.java,2.2.0
HIVE-14007,OrcStripeMetadata.java,2.2.0
HIVE-14007,TestIncrementalObjectSizeEstimator.java,2.2.0
HIVE-14007,OrcProto.java,2.2.0
HIVE-14007,BinaryColumnStatistics.java,2.2.0
HIVE-14007,BloomFilterIO.java,2.2.0
HIVE-14007,BooleanColumnStatistics.java,2.2.0
HIVE-14007,ColumnStatistics.java,2.2.0
HIVE-14007,CompressionCodec.java,2.2.0
HIVE-14007,CompressionKind.java,2.2.0
HIVE-14007,DataReader.java,2.2.0
HIVE-14007,DateColumnStatistics.java,2.2.0
HIVE-14007,DecimalColumnStatistics.java,2.2.0
HIVE-14007,DoubleColumnStatistics.java,2.2.0
HIVE-14007,FileFormatException.java,2.2.0
HIVE-14007,FileMetadata.java,2.2.0
HIVE-14007,IntegerColumnStatistics.java,2.2.0
HIVE-14007,OrcConf.java,2.2.0
HIVE-14007,OrcFile.java,2.2.0
HIVE-14007,OrcUtils.java,2.2.0
HIVE-14007,Reader.java,2.2.0
HIVE-14007,RecordReader.java,2.2.0
HIVE-14007,StringColumnStatistics.java,2.2.0
HIVE-14007,StripeInformation.java,2.2.0
HIVE-14007,StripeStatistics.java,2.2.0
HIVE-14007,TimestampColumnStatistics.java,2.2.0
HIVE-14007,TypeDescription.java,2.2.0
HIVE-14007,Writer.java,2.2.0
HIVE-14007,AcidStats.java,2.2.0
HIVE-14007,BitFieldReader.java,2.2.0
HIVE-14007,BitFieldWriter.java,2.2.0
HIVE-14007,BufferChunk.java,2.2.0
HIVE-14007,ColumnStatisticsImpl.java,2.2.0
HIVE-14007,ConvertTreeReaderFactory.java,2.2.0
HIVE-14007,DataReaderProperties.java,2.2.0
HIVE-14007,DirectDecompressionCodec.java,2.2.0
HIVE-14007,DynamicByteArray.java,2.2.0
HIVE-14007,DynamicIntArray.java,2.2.0
HIVE-14007,HadoopShims.java,2.2.0
HIVE-14007,HadoopShimsCurrent.java,2.2.0
HIVE-14007,HadoopShims_2_2.java,2.2.0
HIVE-14007,InStream.java,2.2.0
HIVE-14007,IntegerReader.java,2.2.0
HIVE-14007,IntegerWriter.java,2.2.0
HIVE-14007,MemoryManager.java,2.2.0
HIVE-14007,OrcAcidUtils.java,2.2.0
HIVE-14007,OrcIndex.java,2.2.0
HIVE-14007,OrcTail.java,2.2.0
HIVE-14007,OutStream.java,2.2.0
HIVE-14007,PhysicalFsWriter.java,2.2.0
HIVE-14007,PhysicalWriter.java,2.2.0
HIVE-14007,PositionProvider.java,2.2.0
HIVE-14007,PositionRecorder.java,2.2.0
HIVE-14007,PositionedOutputStream.java,2.2.0
HIVE-14007,ReaderImpl.java,2.2.0
HIVE-14007,RecordReaderImpl.java,2.2.0
HIVE-14007,RecordReaderUtils.java,2.2.0
HIVE-14007,RedBlackTree.java,2.2.0
HIVE-14007,RunLengthByteReader.java,2.2.0
HIVE-14007,RunLengthByteWriter.java,2.2.0
HIVE-14007,RunLengthIntegerReader.java,2.2.0
HIVE-14007,RunLengthIntegerReaderV2.java,2.2.0
HIVE-14007,RunLengthIntegerWriter.java,2.2.0
HIVE-14007,RunLengthIntegerWriterV2.java,2.2.0
HIVE-14007,SchemaEvolution.java,2.2.0
HIVE-14007,SerializationUtils.java,2.2.0
HIVE-14007,SettableUncompressedStream.java,2.2.0
HIVE-14007,SnappyCodec.java,2.2.0
HIVE-14007,StreamName.java,2.2.0
HIVE-14007,StringRedBlackTree.java,2.2.0
HIVE-14007,TreeReaderFactory.java,2.2.0
HIVE-14007,WriterImpl.java,2.2.0
HIVE-14007,ZeroCopyShims.java,2.2.0
HIVE-14007,ZlibCodec.java,2.2.0
HIVE-14007,FileDump.java,2.2.0
HIVE-14007,JsonFileDump.java,2.2.0
HIVE-14007,TestColumnStatistics.java,2.2.0
