Kind,Name,File,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"AbstractPrimitiveLazyObjectInspector.java",AbstractPrimitiveLazyObjectInspector.java,4,0,4,0,1,,,,,1,0,0,4,,,,4,4,0,,,,4,,,0,,0,2,2,,48,6,22,13,4,20,,,,9,14,10,,4,,2,,0,,,0,91,5
File,"AbstractPrimitiveObjectInspector.java",AbstractPrimitiveObjectInspector.java,7,0,4,3,1,,,,,1,0,0,10,,,,10,10,1,,,,10,,,0,,0,2,8,,107,13,46,25,10,48,,,,15,26,16,,10,,1,,0,,,1,04,10
File,"AbstractPrimitiveWritableObjectInspector.java",AbstractPrimitiveWritableObjectInspector.java,4,0,4,0,1,,,,,1,0,0,4,,,,4,4,0,,,,4,,,0,,0,2,2,,46,6,20,11,4,20,,,,6,11,7,,4,,1,,0,,,1,00,4
File,"AbstractRecordWriter.java",AbstractRecordWriter.java,13,0,12,1,3,,,,,1,1,1,13,,,,18,17,12,,,,18,,,1,,5,6,6,,273,31,200,82,101,43,,,,110,142,77,,77,,8,,2,,,0,21,34
File,"AbstractRowContainer.java",AbstractRowContainer.java,0,0,0,0,0,,,,,2,0,0,0,,,,8,8,0,,,,8,,,0,,0,0,8,,59,10,14,12,0,35,,,,10,12,12,,0,,0,,0,,,2,50,0
File,"AbstractSMBJoinProc.java",AbstractSMBJoinProc.java,41,4,27,10,4,,,,,1,0,0,11,,,,12,12,0,,,,12,,,0,,2,7,3,,537,61,335,134,201,141,,,,175,227,109,,163,,12,,3,,,0,42,49
File,"AbstractSSHCommand.java",AbstractSSHCommand.java,3,0,3,0,1,,,,,1,0,0,11,,,,11,11,7,,,,11,,,0,,0,0,11,,70,4,48,22,15,18,,,,23,35,21,,14,,1,,0,,,0,38,11
File,"AbstractSSHResult.java",AbstractSSHResult.java,5,0,5,0,1,,,,,1,0,0,7,,,,7,7,6,,,,7,,,0,,0,0,7,,62,2,42,22,12,18,,,,19,27,15,,12,,1,,0,,,0,43,7
File,"AbstractSemanticAnalyzerHook.java",AbstractSemanticAnalyzerHook.java,4,0,4,0,1,,,,,1,0,0,2,,,,2,2,0,,,,2,,,0,,0,0,2,,37,6,14,10,1,17,,,,5,8,7,,1,,1,,0,,,1,21,2
File,"AbstractSerDe.java",AbstractSerDe.java,11,0,4,8,1,,,,,1,0,0,3,,,,9,9,1,,,,9,,,0,,0,0,9,,127,15,30,22,4,83,,,,17,21,18,,3,,2,,0,,,2,77,4
